scenario_key,label,description,n_stays,level_sd,index_count_range,late_count_range,serial_rho_15min,rounding_increment,sampling,index_sampling_probability,late_sampling_probability,measurement_level_strength,measurement_recent_strength,count_level_strength,common_time_amplitude,slope_sd,treatment_threshold,treatment_gain,treatment_decay_hours,index_shift_sd,noise,noise_df,noise_scale
ideal_large_dense,"Ideal: large, dense","Correct common component, independent errors, persistent level, and dense non-informative observation.",600,5.5,"(8, 16)","(8, 16)",,,,,,,,,,,,,,,,,
ideal_small_dense,"Ideal: small, dense",The ideal mechanism with 240 stays to isolate sample-size sensitivity.,240,5.5,"(8, 16)","(8, 16)",,,,,,,,,,,,,,,,,
ideal_large_sparse,"Ideal: large, sparse",The ideal mechanism with only two to five index observations to isolate observation sparsity.,600,5.5,"(2, 5)","(4, 8)",,,,,,,,,,,,,,,,,
serial_dependence,Serial dependence,A persistent level is observed with a Gaussian-copula AR(1) residual process on a 15-minute latent grid.,600,5.5,"(6, 14)","(6, 14)",0.82,,,,,,,,,,,,,,,,
discrete_map_rounding,Integer MAP rounding,"Observed and oracle MAP quantiles are rounded to integer mmHg, creating ties that require interval calibration.",600,5.5,"(6, 14)","(6, 14)",0.55,1.0,,,,,,,,,,,,,,,
informative_monitoring,Informative monitoring,Observation probability increases for lower latent levels and after a recently observed low MAP.,600,5.5,"(4, 22)","(4, 22)",0.72,,informative_grid,0.12,0.12,0.6,0.85,,,,,,,,,,
cluster_size_informative,Cluster size--level association,Cluster size is associated with the latent stay level even though observation times are otherwise non-informative.,600,5.5,"(3, 20)","(3, 20)",,,,,,,,1.05,,,,,,,,,
common_time_misspecified,Misspecified common time,The true common quantile contains nonlinear circadian and quadratic time structure omitted from the fitted common component.,600,5.5,"(6, 14)","(6, 14)",0.55,,,,,,,,5.0,,,,,,,,
level_plus_shape,Persistent level plus shape,"Persistent random intercepts coexist with stay-specific linear time shape, favoring a correctly targeted level-plus-slope update.",600,3.0,"(8, 16)","(8, 16)",0.55,,,,,,,,,5.0,,,,,,,
treatment_feedback,Treatment feedback,An early low lower tail triggers a later MAP-raising intervention whose effect decays over time.,600,5.5,"(6, 14)","(6, 14)",0.6,,,,,,,,,,68.0,8.0,7.0,,,,
transient_nonpersistent,Transient non-persistence,"A large index-only shift disappears later, providing a negative control under serial residual dependence.",600,0.0,"(6, 14)","(6, 14)",0.6,,,,,,,,,,,,,6.0,,,
null_serial,Pure null with serial dependence,"No persistent level, index shift, or random shape is present; serial residual dependence tests whether tuning suppresses noise-only updates.",600,0.0,"(6, 14)","(6, 14)",0.82,,,,,,,,,0.0,,,,0.0,,,
weak_level,Weak persistent level,A small but persistent stay-specific lower-tail level tests power and shrinkage under a weak signal.,600,2.5,"(8, 16)","(8, 16)",,,,,,,,,,,,,,,,,
heavy_tail_t3,Heavy-tailed t3 residual,A persistent level is observed with independent Student-t3 marginal residuals centered at their exact 0.10 quantile.,600,5.5,"(8, 16)","(8, 16)",,,,,,,,,,,,,,,student_t,3.0,0.85
